Gene/proteinID	Brown et al. 2014 ID	Description of gene/protein product	Proposed gene name	condition	nmol/gDCW	SD	mM	logSD
CAETHG_RS00020	CAETHG_0004	Glyoxylate reductase	hprA	CO	1.9	0.5	0.0007820399999999999	0.25876516599409194
CAETHG_RS00020	CAETHG_0004	Glyoxylate reductase	hprA	High-H2 CO	1.7	0.9	0.0006997199999999998	0.49706771925547333
CAETHG_RS00020	CAETHG_0004	Glyoxylate reductase	hprA	Syngas	1.4	0.5	0.00057624	0.3464794976434185
CAETHG_RS00050	CAETHG_0011	diguanylate phosphodiesterase metal dependent h	RS00050	CO				
CAETHG_RS00050	CAETHG_0011	diguanylate phosphodiesterase metal dependent h	RS00050	High-H2 CO	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS00050	CAETHG_0011	diguanylate phosphodiesterase metal dependent h	RS00050	Syngas				
CAETHG_RS00055	CAETHG_0012	NADPH-dependent FMN reductase	RS00055	CO				
CAETHG_RS00055	CAETHG_0012	NADPH-dependent FMN reductase	RS00055	High-H2 CO				
CAETHG_RS00055	CAETHG_0012	NADPH-dependent FMN reductase	RS00055	Syngas	1.0	0.2	0.0004116	0.1980422004353651
CAETHG_RS00060	CAETHG_0013	hypothetical protein	RS00060	CO	1.6	0.5	0.0006585599999999999	0.30524944693509815
CAETHG_RS00060	CAETHG_0013	hypothetical protein	RS00060	High-H2 CO	0.5	0.4	0.0002058	0.7033464593186682
CAETHG_RS00060	CAETHG_0013	hypothetical protein	RS00060	Syngas	1.3	0.2	0.00053508	0.15294730979884993
CAETHG_RS00090	CAETHG_0019	phenazine biosynthesis protein PhzF family	RS00090	CO				
CAETHG_RS00090	CAETHG_0019	phenazine biosynthesis protein PhzF family	RS00090	High-H2 CO	0.8	0.6	0.00032927999999999994	0.6680472308365776
CAETHG_RS00090	CAETHG_0019	phenazine biosynthesis protein PhzF family	RS00090	Syngas				
CAETHG_RS00120	CAETHG_0025	Rubredoxin domain containing protein	RS00120	CO	2.3	0.3	0.0009466799999999998	0.12988505804550798
CAETHG_RS00120	CAETHG_0025	Rubredoxin domain containing protein	RS00120	High-H2 CO	2.8	1.1	0.00115248	0.3788481534197023
CAETHG_RS00120	CAETHG_0025	Rubredoxin domain containing protein	RS00120	Syngas	0.7	0.6	0.00028812	0.7421798692902482
CAETHG_RS00125	CAETHG_0026	Ferroxidase	ftnA	CO	4.8	1.2	0.0019756799999999996	0.24622067706923975
CAETHG_RS00125	CAETHG_0026	Ferroxidase	ftnA	High-H2 CO	4.6	1.8	0.0018933599999999995	0.37745267956269385
CAETHG_RS00125	CAETHG_0026	Ferroxidase	ftnA	Syngas	10.7	1.8	0.004404119999999999	0.16705204025807174
CAETHG_RS00190	CAETHG_0039	vesicle tethering protein	RS00190	CO	0.9	0.1	0.00037044	0.11077044999373434
CAETHG_RS00190	CAETHG_0039	vesicle tethering protein	RS00190	High-H2 CO	0.5	0.4	0.0002058	0.7033464593186682
CAETHG_RS00190	CAETHG_0039	vesicle tethering protein	RS00190	Syngas	0.6	0.1	0.00024695999999999995	0.16552635496534787
CAETHG_RS00265	CAETHG_0057	Chaperone protein htpG	htpG	CO	13.0	0.7	0.005350799999999999	0.053807184528551454
CAETHG_RS00265	CAETHG_0057	Chaperone protein htpG	htpG	High-H2 CO	10.6	0.9	0.004362959999999999	0.0847532344032215
